ReqN|ReqTitle|ReqText|Status|Justification||||
d||The functional monitoring subservice shall reject any request to add functional monitoring definitions if any of the following conditions occurs: 1. that request contains an instruction that refers to a functional monitoring definition identifier that is already in the FMON list; 2. that request contains more than one instruction for the same functional monitoring definition.|C1|See definition of Start Action of MonAddFuncMonDefCmd command||||
e||The functional monitoring subservice shall reject any instruction to add a functional monitoring definition if any of the following conditions occurs: 1. that instruction cannot be added since the FMON list is full; 2. that instruction refers to a parameter monitoring definition identifier that is not in the PMON list; 3. that instruction refers to a validity parameter that is not accessible.|C1|See definition of Start Action of MonAddFuncMonDefCmd command||||
f||For each request to add functional monitoring definitions that it rejects, the functional monitoring subservice shall generate the failed start of execution notification for that request.|C1|See definition of Start Action of MonAddFuncMonDefCmd command||||
g||For each instruction to add a functional monitoring definition that it rejects, the functional monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of MonAddFuncMonDefCmd command||||
h||The functional monitoring subservice shall process any valid instruction that is contained within a request to add functional monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Progress Action of MonAddFuncMonDefCmd command||||
I||For each valid instruction to add a functional monitoring definition, the functional monitoring subservice shall: 1. add a new functional monitoring definition to the FMON list, using data from that instruction; 2. set the FMON checking status of the new functional monitoring definition to unchecked; 3. set the FMON status of the new functional monitoring definition to disabled; 4. if the functional monitoring subservice supports the capability for protecting functional monitoring definitions, set the FMON protection status of the new functional monitoring definition to protected.|C1|See definition of Progress Action of MonAddFuncMonDefCmd command||||
6.12.4.7.2a|Delete functional monitoring definitions|The functional monitoring subservice shall provide the capability to delete functional monitoring definitions if the capability to add functional monitoring definitions is provided by that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,24) command||||
b||Each request to delete functional monitoring definitions shall contain one or more instructions to delete a functional monitoring definition.|C1|See definition of MonDelFuncMonDefCmd command||||
c||Each instruction to delete a functional monitoring definition shall contain: 1. the identifier of the functional monitoring definition.|C1|See definition of MonDelFuncMonDefCmd command||||
d||The functional monitoring subservice shall reject any instruction to delete a functional monitoring definition if any of the following conditions occurs: 1. that instruction refers to a functional monitoring definition identifier that is not in the FMON list; 2. that instruction refers to a functional monitoring definition whose FMON status is enabled; 3. that instruction refers to a functional monitoring definition whose FMON protection status is protected.|C1|See definition of Start Action of MonDelFuncMonDefCmd command||||
e||For each instruction to delete a functional monitoring definition that it rejects, the functional monitoring subservice shall generate the failed start of execution notification for that instruction. |C1|See definition of Start Action of MonDelFuncMonDefCmd command||||
f||The functional monitoring subservice shall process any valid instruction that is contained within a request to delete functional monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Progress Action of MonDelFuncMonDefCmd command||||
g||For each valid instruction to delete a functional monitoring definition, the functional monitoring subservice shall: 1. remove the functional monitoring definition that is referred to by that instruction from the FMON list.|C1|See definition of Progress Action of MonDelFuncMonDefCmd command||||
6.12.4.8a|Report functional monitoring definitions|The functional monitoring subservice capability to report functional monitoring definitions shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,25) command and the (12,26) report||||
b||Each request to report functional monitoring definitions shall contain: 1. one or more instructions to report a functional monitoring definition, or 2. exactly one instruction to report all functional monitoring definitions.|C1|See definition of MonRepFuncMonDefCmd command||||
c||Each instruction to report a functional monitoring definition shall contain: 1. the identifier of the functional monitoring definition.|C1|See definition of MonRepFuncMonDefCmd command||||
d||The functional monitoring subservice shall reject any instruction to report a functional monitoring definition if: 1. that instruction refers to a functional monitoring definition identifier that is not in the FMON list.|C1|See definition of Start Action of MonRepFuncMonDefCmd command||||
e||For each instruction to report a functional monitoring definition that it rejects, the functional monitoring subservice shall generate the failed start of execution notification for that instruction|C1|See definition of Start Action of MonRepFuncMonDefCmd command||||
f||The functional monitoring subservice shall process any valid instruction that is contained within a request to report functional monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Progress Action of MonRepFuncMonDefCmd command||||
g||For each valid instruction to report a functional monitoring definition, the functional monitoring subservice shall 1. generate a single functional monitoring definition notification that includes: (a) the content of the functional monitoring definition that is referred to by that instruction; (b) if the functional monitoring subservice supports the capability for protecting functional monitoring definitions, the FMON protection status of that functional monitoring definition; (c) the FMON status of that functional monitoring definition.|C1|See definition of Progress Action of MonRepFuncMonDefCmd command||||
h||For each valid instruction to report all functional monitoring definitions, the functional monitoring subservice shall: 1. for each functional monitoring definition maintained by that subservice, generate a single functional monitoring definition notification that includes: (a) the contents of that functional monitoring definition; (b) if the functional monitoring subservice supports the capability for protecting functional monitoring definitions, the FMON protection status of that functional monitoring definition; (c) the FMON status of that functional monitoring definition.|C1|See definition of Progress Action of MonRepFuncMonDefCmd command||||
I||For each valid request to report functional monitoring definitions, the functional monitoring subservice shall generate a single functional monitoring definition report that contains all related functional monitoring definition notifications.|C1|See definition of Progress Action of MonRepFuncMonDefCmd command and of MonRepFuncMonDefRep report||||
6.12.4.9a|Report the status of each functional monitoring Definition|The functional monitoring subservice capability to report the status of each functional monitoring definition shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,26) report||||
b||Each request to report the status of each functional monitoring definition shall contain exactly one instruction to report the status of each functional monitoring definition.|C1|See definition of MonRepFuncMonDefRep report||||
c||For each valid instruction to report the status of each functional monitoring definition, the functional monitoring subservice shall: 1. generate, for each functional monitoring definition in the FMON list, a single functional monitoring definition status notification that includes: (a) the identifier of that functional monitoring definition; (b) if the functional monitoring subservice supports the capability for protecting functional monitoring definitions, its FMON protection status; (c) its FMON status; (d) its FMON checking status.|C1|See definition of MonRepFuncMonDefRep report||||
d||For each valid request to report the status of each functional monitoring definition, the functional monitoring subservice shall generate a single functional monitoring definition status report that includes all related functional monitoring definition status notifications.|C1|See definition of Progress Action of MonRepFuncMonDefCmd command and of MonRepFuncMonDefRep report||||
6.12.4.10|Subservice observables|The following observables shall be defined for the functional monitoring subservice: 1. the number of remaining available entries in the functional monitoring definition list; 2. the number of enabled functional monitoring definitions; 3. the FMON function status.|C1|See definition of service 12 observables in [PX-SP]||||
6.13|Large Packet Transfer|Definition of service 13||||||
6.13.2.1.1|Subservice|Each large packet transfer service shall contain at least one of: 1. the large packet downlink subservice; 2. the large packet uplink subservice.|C1|The PUS Extension of the CORDET Framework supports both sub-services||||
6.13.2.1.2|Large packet downlink subservice|Each large packet transfer service shall contain at most one large packet downlink subservice.|C1|An application instantiated from the CORDET Framework can only provide one instance of a service of a given type and of its sub-services||||
6.13.2.1.3|Large packet uplink subservice|Each large packet transfer service shall contain at most one large packet uplink subservice.|C1|An application instantiated from the CORDET Framework can only provide one instance of a service of a given type and of its sub-services||||
6.13..2.2a|Application process|Each large packet transfer subservice provider shall be hosted by exactly one application process. \newline NOTE: This implies that when both the large packet downlink subservice and the large packet uplink subservice are supported, the sending entity of the downlink subservice and the receiving entity of the uplink subservice are both hosted by that same on-board application process.|C2|In the CORDET Framework, the allocation of sub-services to application processes is done during the framework instantiation process when the application developers define the groups (see section 4.2 of [PX-SP]||||
b||Each application process shall host at most one large packet transfer subservice provider.|C1|The PUS Extension of the CORDET Framework supports one large packet transfer service per application||||
6.13.3.1a|Configuration of large packet downlink subservice|The maximum number of large packets that can be downlinked concurrently shall be declared when specifying the large packet downlink subservice.|C2|Each down- or up-transfer locks a Large Packet Transfer Buffer for the duration of the transfer. Hence, the maximum number of simultaneously active up- and down-transfers is determined by the number Large Packet Transfer Buffers available in the host application. This is an application constant set during the framework instantiation process (see definition of Constants for Service 13 in [PX-SP]).||||
b||The part size used by the large packet downlink subservice to decompose large packets shall be declared when specifying that subservice.|C2|The part size is one of the parameters defined by the PUS Extension for service 13 (see definition of Parameters for Service 13 in [PX-SP])||||
c||The maximum time allocated to the receiving entity for receiving a subsequent downlink part report after the reception of the previous one shall be declared when specifying the large packet downlink subservice.|n.a.|The PUS Extension of the CORDET Framework does not cover the reception of down-link transfers.||||
6.13.3.2|Resources|The resources allocated to the sending entity of the large packet downlink subservice to process large packets shall be declared when specifying the spacecraft architecture and its operations.|C2|The only framework resources used by the large packet transfer service are the memory used to create the up- and down-transfer packets and the resources for the Large Packet Transfer Buffers. The former resources are allocated within the factory components which create the components encapsulating the packets and are therefore declared when the factories are instantiated and when their adaptation points FAC-1 and FAC-2 are closed. The latter resources are declared when the values of the service 13 constants are defined at application instantiation time. Bandwidth resources for the down- and up-transfers are provided by the middleware and they are therefore declared when the InStream and OutStream components are defined during the instantiation process.||||
6.13.3.3.1a|Downlink Process|The sending entity of the large packet downlink subservice shall have the capability to process each large packet that it receives. \newline NOTE: This Standard assumes that on-board, the large packets are not duplicated. The synchronization between the source of the large packets and the large packet downlink subservice is beyond the scope of this Standard.|C1|The PUS Extension uses Large Packet Transfer Buffers (LPTBs) to hold the data corresponding to one single down- or up-transfer. There is therefore no duplication of packet data.||||
b||For each large packet that it processes, the sending entity of the large packet downlink subservice shall: 1. assign a unique large message transaction identifier to that large packet; 2. split the large packet into parts; 3. associate to each part, a unique part sequence number; 4. encapsulate each part into a single downlink part report.|C1|These capability are implemented by the LPT State Machine of the PUS Extension.||||
c||Each part report shall contain exactly one part notification made of: (a) an identifier of whether the part report contains the First part, an Intermediate part or the Last part of the large packet; (b) the large message transaction identifier; (c) the part sequence number; (d) the part itself.|C1|See definition of components LptDownFirstRep, LptDownInterRep and LptDownLastRep||||
d||The destination of the part reports generated by the large packet downlink subservice shall be declared when specifying the space to ground architecture.|C2|For each Large Packet Transfer Buffer, a destination is defined as a parameter of the service 13 definition in the PUS Extension (see definition of Parameters for Service 13 in [PX-SP]).||||
e||The sending entity of the large packet downlink subservice shall generate the part reports related to each large packet, in increasing order of the part sequence number and at the highest frequency supported under the prevailing operation constraints.|C2|The LPT State Machine which manages a down-link transfer hands over a packet to the middleware every time it is executed. The frequency of execution of the LPT State Machine is decided by the host application.||||
6.13.3.3.2|Accepting part reports and reconstructing large packets||n.a.|The PUS Extension of the CORDET Framework does not cover the reception of down-transfers.||||
6.13.3.4|Subservice observables|The following observables shall be defined for the on-board large packet downlink subservice: 1. the number of on-going downlinks; 2. the list of large message transaction identifiers associated to the on-going downlinks in an array of size corresponding to the maximum number of large packets that can be downlinked concurrently.|C1|See definition of Observable Data Items associated to service 13 in [PX-SP]||||
6.13.4.1a|Configuration of large packet uplink subservice|The maximum number of large packets that can be uplinked concurrently shall be declared when specifying the large packet uplink subservice.|C2|See statement of compliance to clause 6.13.3.1a.||||
b||The part size used by the large packet uplink subservice to decompose large packets shall be declared when specifying that subservice.|n.a.|The PUS Extension of the CORDET Framework does not cover the sending of up-transfer packets||||
c||The maximum time allocated to the uplink receiving entity for receiving a subsequent uplink part request after the reception of the previous one (uplink reception time-tout) shall be declared when specifying the large packet uplink subservice.|C2|The PUS Extension of the CORDET Framework does not implement any tme-out mechanism for uplink packets: uplink packets are processed when they are received. If needed, a time-out mechanism can be implemented by the host application which can use the up-transfer abort mechanism to abort the up-transfer in case of time-out violation.||||
6.13.4.2a|Resources|The resources allocated to the uplink receiving entity of the large packet uplink subservice to process large packets shall be declared when specifying the spacecraft architecture and its operations.|C2|See statement of compliance to clause 6.13.4.2a.||||
6.13.4.3.1a|Uplink Process|For each large packet that it processes, the sending entity of the large packet uplink subservice shall: 1. assign a unique large message transaction identifier to that large Packet; 2. split the large packet into parts; 3. associate to each part, a unique part sequence number; 4. encapsulate each part into a single uplink part request.|n.a.|The PUS Extension of the CORDET Framework does not cover the sending of up-transfer packets||||
b||Each part request shall contain: exactly one part instruction made of: (a) an identifier of whether the part request is the 'First' part, an 'Intermediate' part or the 'Last' part of the large packet; (b) the large message transaction identifier; (c) the part sequence number; (d) the part itself.|C1|See definition of the components encapsulating up-transfer packets (components LptUpFirstCmd, LptUpInterCmd and LptUpLastCmd)||||
c||The destination of the uplink part requests generated by the large packet uplink subservice shall be declared when specifying the space to ground architecture.|n.a.|The PUS Extension of the CORDET Framework does not cover the sending of up-transfer packets||||
d||The sending entity of the large packet uplink subservice shall generate the uplink part requests related to each large packet, in increasing order of part sequence number and at the highest frequency supported under the prevailing operation constraints.|n.a.|The PUS Extension of the CORDET Framework does not cover the sending of up-transfer packets||||
6.13.4.3.2a|Accepting uplink part requests and reconstructing large packets|The receiving entity of the large packet uplink subservice shall be able to process all uplink part requests that it receives.|C1|The PUS Extension of the CORDET Framework supports commands (13,9) to (13,11)||||
b||The receiving entity of the large packet uplink subservice shall initiate the uplink operation when it receives the request to uplink the first part of the large packet.|C1|Reception of a (13,9) triggers the transition of the LPT State Machine to state UP\_TRANSFER. This marks the start of the reception process.||||
c||The receiving entity of the large packet uplink subservice shall initiate the reception timer after the successful reception of the request to uplink the first part or the request to uplink an intermediate part.|C1|See definition of LPT State Machine||||
d||The receiving entity of the large packet uplink subservice shall end the uplink operation when the request to uplink the last part of the large packet has successfully been received.|C1|Reception of a (13,11) triggers the transition of the LPT State Machine from state UP\_TRANSFER to state INACTIVE. This marks the end of the reception process.||||
e||The receiving entity of the large packet uplink subservice shall abort the uplink operation when the reception timer reaches the uplink reception timeout.|C1|The expiration of the time-out triggers a transition of the LPT State Machine from state UP\_TRANSFER to state INACTIVE. This marks the end of the reception process.||||
f||The receiving entity of the large packet uplink subservice shall abort the uplink operation when a discontinuity is detected in the uplink reception sequence.|C1|Detection of a discontinuity triggers a transition of the LPT State Machine from state UP\_TRANSFER to state INACTIVE. This marks the end of the reception process.||||
g||For each uplink part request that is received, the receiving entity of the large packet uplink subservice shall include that part in the reconstruction process of the related large packet.|C1|See definition of Progress Action of LptUpFirstCmd, LptUpInterCmd and LptUpLastCmd components||||
h||Upon successful completion of the uplink operation, the receiving entity of the large packet uplink subservice shall: 1. generate that large packet for subsequent routing to its destination.|C1|This is done implicitly because the large packet is re-constructed in an LPT Buffer which is then available to the host application for further processing||||
I||For each large packet uplink that is aborted, the receiving entity of the large packet uplink subservice shall: 1. generate a single large packet uplink abortion notification that includes the reason of that abortion; 2. discard that large packet and the related uplink part requests.|C1|1. The PUS Extension supports report (13,16) to carry the notification of an up-transfe abort. 2. If the LPT State Machine is in state INACTIVE (which would be the case after an up-transfer has been aborted), all up-transfer commands are rejected with an acceptance check failure ||||
6.13.4.3.3a|Large packet uplink abortion report|The receiving entity of the large packet uplink shall provide the capability to generate large packet uplink abortion reports.|C1|The PUS Extension supports report (13,16) to carry the notification of an up-transfe abort. ||For each large packet uplink abortion notification that it generates, the receiving entity of the large packet uplink subservice shall generate a single large packet uplink abortion report that contains that notification.|C1|See definition of transition action from state UP\_TRANSFER to state INACTIVE for the LPT State Machine in response to an \texttt{AbortUpTransfer} command.
||Each large packet uplink abortion notification shall contain: 1. the large message transaction identifier; 2. the abortion reason.|C1|See definition of LptUpAbortRep component||||
6.13.4.4|Subservice Observables|The following observables shall be defined for the large packet uplink subservice: 1. the number of on-going uplinks; 2. the list of the large message transaction identifiers associated to the on-going uplinks in an array of size corresponding to the maximum number of large packets that can be uplinked Concurrently.|C1|See definition of Observable Data Items associated to service 13 in [PX-SP]||||
6.14|Real-Time Forwarding Control|Definition of service 14|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.15|On-Board Storage and Retrieval|Definition of service 15|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.17.2.1.1a|Test subservice|Each test service shall contain at least one test subservice.|C1|The PUS Extension of the CORDET Framework supports service 17 in full||||
6.17.2.2a|Application process|Each application process shall host at most one test subservice provider.|C1|An application instantiated from the CORDET Framework can only provide one instance of a service of a given type||||
6.17.3a|Perform an are-you-alive connection test|The test subservice shall provide the capability to perform an are-you-alive connection test.|C1|The PUS Extension of the CORDET Framework supports sub-types 1 and 2 of service 17||||
b||Each request to perform an are-you-alive connection test shall contain exactly one instruction to perform an are-you-alive connection test.|C1|Command (17,1) triggers one single are-you-alive test||||
c||For each valid instruction to perform an are-you-alive connection test, the test subservice shall generate a single are-you-alive connection test notification that notifies that the application process that hosts the test subservice is alive and has successfully received the request.|C1|The command (17,1) triggers generation of one single report (17,2)||||
d||For each valid request to perform an are-you-alive connection test, the test subservice shall generate a single are-you-alive connection test report that includes the related are-you-alive connection test notification.|C1|The command (17,1) triggers generation of one single report (17,2)||||
6.17.4.1a|Application process accessibility|The list of application processes for which the test subservice can perform an on-board connection testing shall be declared when specifying that subservice.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework||||
b||For each application process for which the test subservice can perform an on-board connection testing, the criteria for a successful on-board connection test between that application process and that service shall be declared when specifying that subservice.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework. In general, the success criterium for an are-you-alive test is that a (17,2) report be generated in response to a (17,1) command but applications may specify additional timing constraints.||||
6.17.4.2a|Perform an on-board connection test|The test subservice capability to perform an on-board connection test shall be declared when specifying that subservice.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework||||
b||Each request to perform an on-board connection test shall contain exactly one instruction to perform an on-board connection test.|C1|A command (17,3) contains triggers one single on-board connection test||||
c||Each instruction to perform an on-board connection test shall contain: the identifier of the application process that connection test is requested.|C1|See specification command (17,3)||||
d||The test subservice shall reject any request to perform an on-board connection test if: \newline 1. that request contains an instruction that refers to an application process that is not in the list of application processes for which the test subservice can perform an on-board connection testing.|C1|The start action of command (17,3) checks the legality of the target for the connection test and declares failure if this does not match an entry in a pre-defined list of application identifiers||||
e||For each request to perform an on-board connection test that is rejected, the test subservice shall generate a failed start of execution notification.|C1|See statement of compliance to previous requirement||||
f||For each valid instruction to perform an on-board connection test, the test subservice shall: \newline 1. perform a connection test with the application process referred to by that instruction; \newline 2. if the criteria for a successful on-board connection test with that application process are satisfied, generate a single on-board connection test notification that includes the identifier of the application process that connection has been tested. \newline 3. if the criteria for a successful on-board connection test with that application process are not satisfied, generate a failed completion of execution verification report.|C1|See progress action of command (17,3). The connection test is implemented as an Are-You-Alive test with the target application.||||
g||For each valid request to perform an on-board connection test, the test subservice shall generate a single on-board connection test report that includes the related on-board connection test notification.|C1|See progress action of command (17,3) and specification of report (17,4)||||
6.18|On-Board Control Procedure|Definition of service 18|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.19|Event-Action|Definition of service 19|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.2||Definition of service 20|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.21|Request Sequencing|Definition of service 21|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.22|Position-Based Scheduling|Definition of service 22|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.23|File Management|Definition of service 23|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
7.3.1a|Packet field type code|Each packet field shall be associated to a packet field code that indicates the data type of any value carried by that packet field.|C2|The definition of the attributes of commands and reports is an adaptation point of the CORDET Framework (see adaptation points OCM-12 and ICM-21 in [CR-SP]). The definition of the syntactical types of these attributes is therefore done as part of the framework instantiation process.||||
b||Tailoring this Standard for a mission, for each new message type defined for that mission, the packet field type code of each field of that new message type shall be declared when specifying that message type.|C2|See justification of first requirement in this clause||||
c||Tailoring this Standard for a mission, for each message type field that packet field format code is unknown, the packet field format code of that field shall be declared when specifying the application process that uses the related message type.|C2|See justification of first requirement in this clause||||
d||The PTC specified in Table 7-1 shall be used to declare the PTC of each packet field.|C2|See justification of first requirement in this clause||||
e||The PTC of each packet field shall be declared when specifying the structure of each packet type.|C2|See justification of first requirement in this clause||||
7.3.2a|Booelan|Each packet field used to carry Boolean values shall be of PTC 1.|C2|See justification of first requirement in clause 7.3.1a||||
b||The PFCs specified in Table 7-2 shall be used for packet fields carrying Boolean values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.3a|Enumerated|Each packet field used to carry Boolean values shall be of PTC 2.|C2|See justification of first requirement in clause 7.3.1a||||
b||The PFCs specified in Table 7-3 shall be used for packet fields carrying Boolean values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.4a|Unsigned Integer|Each packet field used to carry Boolean values shall be of PTC 3.|C2|See justification of first requirement in clause 7.3.1a||||
b||Each unsigned integer value shall be encoded with Bit 0 being the most significant bit (MSB) and Bit N­1 the least significant bit (LSB).|C2|See justification of first requirement in clause 7.3.1a||||
c||The PFCs specified in Table 7-4 shall be used for packet fields carrying unsigned integer values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.5a|Signed Integer|Each packet field used to carry Boolean values shall be of PTC 4.|C2|See justification of first requirement in clause 7.3.1a||||
||Bit 0 of each signed integer parameter shall be used to determine the sign of the parameter value.|C2|See justification of first requirement in clause 7.3.1a||||
||The PFCs specified in Table 7-5 shall be used for packet fields carrying unsigned integer values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.6a|Real|Each packet field used to carry Boolean values shall be of PTC 5.|C2|See justification of first requirement in clause 7.3.1a||||
||The PFCs specified in Table 7-6 shall be used for packet fields carrying Boolean values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.7a|Bit-String|Each packet field used to carry Boolean values shall be of PTC 6.|C2|See justification of first requirement in clause 7.3.1a||||
b||The PFCs specified in Table 7-7 shall be used for packet fields carrying Boolean values.|C2|See justification of first requirement in clause 7.3.1a||||
c||The variable­ length bit­string shall have the structure specified in Figure 7-3.|C2|See justification of first requirement in clause 7.3.1a||||
d||For each application process that uses variable-length octet-strings, the PFC of the length field of the variable-length bit-string format shall be declared when specifying that application process.|C2|See justification of first requirement in clause 7.3.1a||||
e||Each spare field of a telemetry or a telecommand packet shall be of fixed-length PTC 6.|C2|See justification of first requirement in clause 7.3.1a||||
f||For each spare field of a telemetry or a telecommand packet, all bits of that field shall be set to zero.|C2|See justification of first requirement in clause 7.3.1a||||
g||For each packet field containing a fixed-length bit-string whose length is deduced, the definition used to deduce that length shall be declared when specifying the related packet field type.|C2|See justification of first requirement in clause 7.3.1a||||
h||For each packet field containing a fixed-length bit-string whose length is deduced, the deduction of the length shall only result from the content of one or more preceding fields of the same packet, of one or more mission constants or a combination of both.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.8a|Octet-String|Each packet field used to carry Boolean values shall be of PTC 7.|C2|See justification of first requirement in clause 7.3.1a||||
b||The PFCs specified in Table 7-8 shall be used for packet fields carrying Boolean values.|C2|See justification of first requirement in clause 7.3.1a||||
c||The variable­ length octet-string shall have the structure specified in Figure 7-3.|C2|See justification of first requirement in clause 7.3.1a||||
d||For each application process that uses variable-length octet-strings, the PFC of the length field of the variable-length bit-string format shall be declared when specifying that application process.|C2|See justification of first requirement in clause 7.3.1a||||
e||For each packet field containing a fixed-length octet-string whose length is deduced, the definition used to deduce that length shall be declared when specifying the related packet field type.|C2|See justification of first requirement in clause 7.3.1a||||
f||For each packet field containing a fixed-length octet-string whose length is deduced, the deduction of the length shall only result from the content of one or more preceding fields of the same packet, of one or more mission constants or a combination of both.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.9a|Character-String|Each packet field used to carry character-string values shall be of PTC 8.|C2|See justification of first requirement in clause 7.3.1a||||
b||The values that character-string parameters can take shall be sequences of visible characters.|C2|See justification of first requirement in clause 7.3.1a||||
c||The PFCs specified in Table 7-9 shall be used for packet fields carrying character-string values.|C2|See justification of first requirement in clause 7.3.1a||||
d||The variable­ length character­string format shall have the structure specified in Figure 7-5:|C2|See justification of first requirement in clause 7.3.1a||||
e||For each application process that uses variable-length character-strings, the PFC of the length field of the variable-length character-string format shall be declared when specifying that application process.|C2|See justification of first requirement in clause 7.3.1a||||
f||For each packet field containing a fixed-length character-string whose length is deduced, the definition used to deduce that length shall be declared when specifying the related packet field type.|C2|See justification of first requirement in clause 7.3.1a||||
g||For each packet field containing a fixed-length character-string whose length is deduced, the deduction of the length shall only result from the content of one or more preceding fields of the same packet, of one or more mission constants or a combination of both.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.10a|Absolute Time|Each packet field used to carry absolute time values shall be of PTC 9.|C2|See justification of first requirement in clause 7.3.1a||||
b||Each absolute time parameter value shall be a positive time offset that is a number of seconds and fractions of a second from a given epoch.|C2|See justification of first requirement in clause 7.3.1a||||
c||If the absolute time parameter has CDS format, the standard CCSDS epoch of 1958 January 1 shall be used.|C2|See justification of first requirement in clause 7.3.1a||||
d||The PFCs specified in Table 7-10 shall be used for packet fields carrying absolute time values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.11a|Relative Time|Each packet field used to carry relative time values shall be of PTC 10.|C2|See justification of first requirement in clause 7.3.1a||||
b||Each relative time parameter value shall be a positive or a negative time offset that is the number of seconds and fractions of a second from the occurrence time of an event whose identification can be derived from other parameters in the packet (identifying a type of on-board event) or a number of seconds and fractions of a second between two absolute times.|C2|See justification of first requirement in clause 7.3.1a||||
c||The PFCs specified in Table 7-11 shall be used for packet fields carrying relative time values.|C2|See justification of first requirement in clause 7.3.1a||||
7.3.12a|Deduced|Each packet field whose structure and format is deduced shall be of PTC 11 PFC 0.|C2|See justification of first requirement in clause 7.3.1a||||
b||For each packet field whose structure and format is deduced, the definition used to deduce that structure and format shall be declared when specifying the related packet field type.|C2|See justification of first requirement in clause 7.3.1a||||
c||For each packet field whose structure and format is deduced, the deduction of the structure and format shall only result from the content of one or more preceding fields of the same packet, of one or more mission constants or a combination of both.|C2|See justification of first requirement in clause 7.3.1a||||
7.313a|Packet|Each packet field used to carry packets shall be of PTC 12.|C2|See justification of first requirement in clause 7.3.1a||||
b||The PFCs specified in Table 7-12 shall be used for packet fields carrying packets.|C2|See justification of first requirement in clause 7.3.1a||||
7.4.2|The CCSDS Space Packet|Once a telecommand or a telemetry packet has been generated by an application process, no one shall update that packet.|C1|The act of generating a packet in the CORDET Framework coincides with its being executed by its OutManager. After this execution is completed, the packet is handed over to the middleware through the OutStream and can no longer be accessed by the framework infrastructure.||||
7.4.3.1a|Telemetry packet secondary header|With the exception of the spacecraft time packets specified in clauses 6.9.4.2 and 6.9.4.3, all telemetry packets defined in this Standard shall have a telemetry packet secondary header.|C2|The PUS Extension of the CORDET Framework specifies the existence of a number of attributes (see section 4 of [PX-SP]) but their precise definition is done during the framework instantiation process.||||
b||Each telemetry packet secondary header shall have the structure specified in Figure 7-7.|C1/C2|See statement of compliance to the next requirements in this clause||||
c||Each application process shall set the TM packet PUS version number of each telemetry packet it generates to 2.|C2|This field does not exist in the CORDET Framework but, since its value is fixed, it can be added by applications when they implement the functions which fill in the header of their telemetry packets.||||
d||Each application process that provides the capability to report the spacecraft time reference status used when time tagging telemetry packets shall set the spacecraft time reference status field of each telemetry packet it generates to the status of the on-board time reference used when time tagging that telemetry packet.|C2|The value of this field is provisionally assumed to be zero. This may change after service 9 has been defined (TBC).||||
e||Each application process that does not provide the capability to report the status of the on-board time reference used when time tagging telemetry packets shall set the spacecraft time reference status field of each telemetry packet it generates to 0.|C2|See statement of compliance to previous requirement||||
f||For each report that it generates, each application process shall set the message type ID field of the corresponding telemetry packet to the message type identifier of that report.|C1|The CORDET Framework pre-defines the type and sub-type attribute which, taken together, constitute the message type.||||
g||For each report that it generates, each application process that provides the capability to count the type of generated messages per destination and report the corresponding message type counter shall set the message type counter of the related telemetry packet to the value of the related counter.|C1|The CORDET Framework maintains counters of messages generated for each [APID,Destination] pair but it does not, by default, provide the capability to count the number of generated messages of a given type.||||
h||Each application process that does not provide the capability to count the type of generated messages per destination and report the corresponding message type counter shall set the message type counter field of each telemetry packet it generates to 0.|C1/C2|This capability is, by default, not provided by the CORDET Framework and hence this field can be set to zero (unless an application decides to provide the capability at its own level)||||
I||Each application process shall set the destination ID field of each telemetry packet it generates to the application process user identifier of the application process addressed by the related report.|C1|See mapping of destination field in section 4 of [PX-SP].||||
j||The PFC of the time field of telemetry packets shall be declared when specifying the time service used by the spacecraft.|C2|See statement of compliance to clause 7.3.1a.||||
